Gene,ID
0610009b22rik,100000
0610009l18rik,100001
0610009o20rik,100002
0610010k14rik,100003
0610012d04rik,100004
0610030e20rik,100005
0610037l13rik,100006
0610039h22rik,100007
0610039k10rik,100008
0610040j01rik,100009
1110002e22rik,100010
1110002j07rik,100011
1110002l01rik,100012
1110004f10rik,100013
1110008f13rik,100014
1110018n20rik,100015
1110036e04rik,100016
1190005i06rik,100017
1190007i07rik,100018
1300017j02rik,100019
1500009c09rik,100020
1500011b03rik,100021
1600002k03rik,100022
1600014c10rik,100023
1600014c23rik,100024
1700001c19rik,100025
1700001d01rik,100026
1700001j04rik,100027
1700001l19rik,100028
1700001o22rik,100029
1700003d09rik,100030
1700003f12rik,100031
1700003m07rik,100032
1700006e09rik,100033
1700006h21rik,100034
1700007k13rik,100035
1700007l15rik,100036
1700008k24rik,100037
1700008o03rik,100038
1700010g06rik,100039
1700012b07rik,100040
1700012b09rik,100041
1700012c14rik,100042
1700012h19rik,100043
1700012i11rik,100044
1700013f07rik,100045
1700016b01rik,100046
1700016c19rik,100047
1700016k05rik,100048
1700016k19rik,100049
1700017b05rik,100050
1700020g03rik,100051
1700021f05rik,100052
1700021n21rik,100053
1700023a20rik,100054
1700024g13rik,100055
1700025c18rik,100056
1700025d23rik,100057
1700025g04rik,100058
1700025n21rik,100059
1700028d13rik,100060
1700029i15rik,100061
1700029j03rik,100062
1700029n11rik,100063
1700030l22rik,100064
1700034j05rik,100065
1700037h04rik,100066
1700040p09rik,100067
1700041b01rik,100068
1700048o20rik,100069
1700051k13rik,100070
1700055c04rik,100071
1700057h15rik,100072
1700062c10rik,100073
1700066b19rik,100074
1700067k01rik,100075
1700072f12rik,100076
1700080f18rik,100077
1700086d15rik,100078
1700087i21rik,100079
1700092k14rik,100080
1700095b10rik,100081
1700096k18rik,100082
1700096p03rik,100083
1700108i11rik,100084
1700108j01rik,100085
1700109g15rik,100086
1700110c19rik,100087
1700112m02rik,100088
1700113h08rik,100089
1700121c10rik,100090
1700122o11rik,100091
1700123o20rik,100092
1700127f24rik,100093
1810009a15rik,100094
1810010h24rik,100095
1810013a23rik,100096
1810024b03rik,100097
1810030o07rik,100098
1810032o08rik,100099
1810041l15rik,100100
2010003k11rik,100101
2010004m13rik,100102
2010010a06rik,100103
2010107e04rik,100104
2010111i01rik,100105
2010204k13rik,100106
2010300c02rik,100107
2010320m18rik,100108
2200002d01rik,100109
2200002j24rik,100110
2210016l21rik,100111
2210039b01rik,100112
2210417a02rik,100113
2210420h20rik,100114
2310001k24rik,100115
2310002l09rik,100116
2310005a03rik,100117
2310008n11rik,100118
2310011j03rik,100119
2310015a10rik,100120
2310022a10rik,100121
2310022b05rik,100122
2310030g06rik,100123
2310043l19rik,100124
2310057j18rik,100125
2310067e19rik,100126
2410003l11rik,100127
2410004b18rik,100128
2410004i01rik,100129
2410004p03rik,100130
2410015m20rik,100131
2410080i02rik,100132
2410124h12rik,100133
2410131k14rik,100134
2500002b13rik,100135
2510009e07rik,100136
2600017c09rik,100137
2610027k06rik,100138
2610028e06rik,100139
2610301b20rik,100140
2610318n02rik,100141
2610524h06rik,100142
2610528j11rik,100143
2700081o15rik,100144
2810006k23rik,100145
2810429i04rik,100146
2810433d01rik,100147
2810442n19rik,100148
2900024j01rik,100149
2900026a02rik,100150
2900041m22rik,100151
2900052l18rik,100152
2900055j20rik,100153
2900089d17rik,100154
3010001f23rik,100155
3110002h16rik,100156
3110009e18rik,100157
3110009f21rik,100158
3110062m04rik,100159
3110067g11rik,100160
3110082i17rik,100161
3110082j24rik,100162
3300002a11rik,100163
3425401b19rik,100164
