Gene,ID
.,2109
0610009B22Rik,2110
0610009L18Rik,2111
0610012d04rik,2112
0610030E20Rik,2113
1110002L01Rik,2114
1110008F13Rik,2115
1110018n20rik,2116
1110036e04rik,2117
1190005I06Rik,2118
1300017J02Rik,2119
1500009C09Rik,2120
1500011B03Rik,2121
1600002K03Rik,2122
1600014C23Rik,2123
1600014c10rik,2124
1600014c23rik,2125
1700001C19Rik,2126
1700001O22Rik,2127
1700001o22rik,2128
1700003F12Rik,2129
1700003m07rik,2130
1700006E09Rik,2131
1700007K13Rik,2132
1700012B07Rik,2133
1700012b09rik,2134
1700012c14rik,2135
1700012i11rik,2136
1700016K19Rik,2137
1700016b01rik,2138
1700016c19rik,2139
1700017B05Rik,2140
1700017b05rik,2141
1700020g03rik,2142
1700021F05Rik,2143
1700021n21rik,2144
1700025c18rik,2145
1700034J05Rik,2146
1700037H04Rik,2147
1700040p09rik,2148
1700041b01rik,2149
1700048O20Rik,2150
1700066B19Rik,2151
1700080f18rik,2152
1700096p03rik,2153
1700108j01rik,2154
1700122O11Rik,2155
1700122o11rik,2156
1700123O20Rik,2157
1810010h24rik,2158
1810032O08Rik,2159
1810041L15Rik,2160
2010003K11Rik,2161
2010003k11rik,2162
2010004m13rik,2163
2010107E04Rik,2164
2200002d01rik,2165
2310002L09Rik,2166
2310008n11rik,2167
2310011J03Rik,2168
2310030g06rik,2169
2410004B18Rik,2170
2410015M20Rik,2171
2600017c09rik,2172
2610318N02Rik,2173
2610524H06Rik,2174
2610528J11Rik,2175
2700081O15Rik,2176
2810006K23Rik,2177
2810429i04rik,2178
2900026a02rik,2179
2900052l18rik,2180
2900089d17rik,2181
3110002H16Rik,2182
3110062M04Rik,2183
3110082I17Rik,2184
3110082j24rik,2185
3425401B19Rik,2186
4430402I18Rik,2187
4732471j01rik,2188
4930405h06rik,2189
4930502e09rik,2190
4930505m18rik,2191
4930519g04rik,2192
4930542m03rik,2193
4930543e12rik,2194
4930543i03rik,2195
4930568e12rik,2196
4930573c15rik,2197
4930581f22rik,2198
4931406P16Rik,2199
4932413f04rik,2200
4932438H23Rik,2201
4933400f21rik,2202
4933404k08rik,2203
4933424g05rik,2204
4933428G20Rik,2205
4933431g14rik,2206
4933432k03rik,2207
4933433h22rik,2208
5330417C22Rik,2209
5830428m24rik,2210
6330415g19rik,2211
6430548M08Rik,2212
6430548m08rik,2213
6430571L13Rik,2214
6430573F11Rik,2215
6530409c15rik,2216
8430419k02rik,2217
8430430b14rik,2218
9030612E09Rik,2219
9130204k15rik,2220
9130409I23Rik,2221
9330171B17Rik,2222
9430015G10Rik,2223
9430024e24rik,2224
9530068E07Rik,2225
9530077C05Rik,2226
9630013d21rik,2227
9930012k11rik,2228
9930014a18rik,2229
A130010J15Rik,2230
A430005L14Rik,2231
A430105I19Rik,2232
A530016L24Rik,2233
A630091E08Rik,2234
A930011G23Rik,2235
A930033H14Rik,2236
AI429214,2237
AI661453,2238
AK015956,2239
AK039686,2240
AK043032,2241
AK085995,2242
AK165889,2243
AK166773,2244
AK168184,2245
AU022252,2246
Aacs,2247
Aar2,2248
Aars,2249
Aars2,2250
Aarsd1,2251
Abca7,2252
Abcb8,2253
Abcb9,2254
Abcc6,2255
Abcf2,2256
Abhd15,2257
Abhd4,2258
Abi3,2259
Abl1,2260
Ablim1,2261
Ablim2,2262
Ablim3,2263
Abr,2264
Abracl,2265
Abraxas2,2266
