Gene,ID
.,4187
0610009B22Rik,4188
0610009L18Rik,4189
0610009O20Rik,4190
0610009l18rik,4191
0610010K14Rik,4192
0610012d04rik,4193
0610030E20Rik,4194
1110002L01Rik,4195
1110002j07rik,4196
1110002o04rik,4197
1110018n20rik,4198
1110036e04rik,4199
1190005I06Rik,4200
1190007I07Rik,4201
1300017J02Rik,4202
1500009C09Rik,4203
1500011B03Rik,4204
1600002K03Rik,4205
1600012H06Rik,4206
1600014C23Rik,4207
1600014c10rik,4208
1700001C19Rik,4209
1700001L19Rik,4210
1700001O22Rik,4211
1700001o22rik,4212
1700003F12Rik,4213
1700003d09rik,4214
1700006E09Rik,4215
1700006j14rik,4216
1700007K13Rik,4217
1700008k24rik,4218
1700012c14rik,4219
1700013F07Rik,4220
1700016K19Rik,4221
1700016k05rik,4222
1700017B05Rik,4223
1700017b05rik,4224
1700017j07rik,4225
1700018a23rik,4226
1700021F05Rik,4227
1700021n21rik,4228
1700025k04rik,4229
1700025n21rik,4230
1700027j07rik,4231
1700029I15Rik,4232
1700030c10rik,4233
1700030l22rik,4234
1700030m09rik,4235
1700034J05Rik,4236
1700037H04Rik,4237
1700039i01rik,4238
1700040p09rik,4239
1700041b01rik,4240
1700048O20Rik,4241
1700049e22rik,4242
1700066B19Rik,4243
1700086d15rik,4244
1700108i11rik,4245
1700108j01rik,4246
1700109g15rik,4247
1700116b05rik,4248
1700122O11Rik,4249
1700122o11rik,4250
1700123O20Rik,4251
1700127f24rik,4252
1810010h24rik,4253
1810021b22rik,4254
1810030o07rik,4255
1810032O08Rik,4256
1810041L15Rik,4257
2010001m07rik,4258
2010003K11Rik,4259
2010004m13rik,4260
2010010a06rik,4261
2010107E04Rik,4262
2010204k13rik,4263
2010300C02Rik,4264
2200002d01rik,4265
2210417a02rik,4266
2210420h20rik,4267
2310008n11rik,4268
2310011J03Rik,4269
2310030g06rik,4270
2410003l11rik,4271
2410004B18Rik,4272
2410015M20Rik,4273
2410131K14Rik,4274
2510009E07Rik,4275
2510009e07rik,4276
2610318N02Rik,4277
2610524H06Rik,4278
2610528J11Rik,4279
2700081O15Rik,4280
2810006K23Rik,4281
2810403d21rik,4282
2810433d01rik,4283
2810442n19rik,4284
2900026A02Rik,4285
2900026a02rik,4286
2900052l18rik,4287
2900055J20Rik,4288
2900089d17rik,4289
3010001f23rik,4290
3110002H16Rik,4291
3110062M04Rik,4292
3110082I17Rik,4293
3110082j24rik,4294
3300002I08Rik,4295
3632454l22rik,4296
4430402I18Rik,4297
4833439f03rik,4298
4921507P07Rik,4299
4921513I03Rik,4300
4921539e11rik,4301
4930401g09rik,4302
4930404h11rik,4303
4930404h24rik,4304
4930405h06rik,4305
4930445n18rik,4306
4930448e22rik,4307
4930449e01rik,4308
4930452B06Rik,4309
4930474n09rik,4310
4930486L24Rik,4311
4930488n24rik,4312
4930500a05rik,4313
4930500l23rik,4314
4930505m18rik,4315
4930506a18rik,4316
4930511a08rik,4317
4930511e03rik,4318
4930515b02rik,4319
4930519g04rik,4320
4930520o04rik,4321
4930524b15rik,4322
4930542m03rik,4323
4930543e12rik,4324
4930543i03rik,4325
4930544f09rik,4326
4930548g05rik,4327
4930551e15rik,4328
4930552p06rik,4329
4930566d17rik,4330
4930573c15rik,4331
4930578m01rik,4332
4930581f22rik,4333
4930592i03rik,4334
